Waypoint,Latitude,Longitude
1,40.712793669732555,-74.0060059059877
2,40.712533872770685,-74.00613943318928
3,40.71268478904808,-74.00644667220315
4,40.71268478904808,-74.00558693440955
5,40.71283570532548,-74.00546430452661
6,40.71283570532548,-74.00640131656492
7,40.71298662160288,-74.0062843954571
8,40.71298662160288,-74.00534557990831
9,40.71313753788028,-74.0057062974214
10,40.71313753788028,-74.00616747434927
11,40.712382956493286,-74.00583219417541
12,40.712533872770685,-74.00570956429247
